GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
50318	1.44	4.132084541	4.088304205	4.175864876	-11.15470519	-11.21652488	-11.0928855	1.98	0.257	0.183	1.874408221	1.788501702	1.960314741	2.7	5	0.982318229	0.116830125	3.744694715	0.043780336	46.94729964	0.080558058	L	L	2.16e-7	1.01e-8	-0.805756	0.266856364	67.2495	9.878212121	0.707543397	0.069286435	51.29420569	0.0471	Wind	CPL	51.3	0.0471	28.5053	50318	12.760690335838593	0.18083844362775148
50319	3.24	3.73997	3.67804	3.8019	-10.7047	-10.7464	-10.6631	1.971	0.118	0.1	0.863159	0.828601	0.897717	2.56	6	0.958973023	0.091513573	3.112604143	0.06193	48.24574508	0.05875663	XRF	XRF	7.72e-8	9.55e-9	-0.107529	1.270084848	40.0123	6.370363636	0.635731039	0.180705554	51.65939212	0.1346	S	CPL	51.7	0.1346	28.9347	50319	11.434651912073242	0.46237993848314635
50401	2.9	3.12435	3.09602	3.15268	-9.65399	-9.67345	-9.63454	1.9995	0.256080554	0.221251554	0.984108	0.958047	1.01017	2	6	0.999319743	0.196726026	2.533285393	0.02833	49.19861387	0.087680807	L	L-G	1.1e-6	6.01e-8	-0.0665502	0.391551818	107.979	24.40133333	0.224291458	0.072924134	52.24443233	0.1432	ISM	CPL	52.2	0.1432	28.8768	50401	9.592993165668807	0.4121347791118019
60206	4.05	3.93814	3.8637	4.01258	-10.6316	-10.7022	-10.5611	2.265	0.20808652	0.182002747	1.17565	1.14698	1.20432	2	6.4	1.535932801	0.294017553	3.234848622	0.07444	48.75450576	0.109035668	XRF-IS	XRF-IS	2.01e-7	8.25e-9	-0.908684	0.234055758	81.7643	16.55839394	0.371942979	0.084113102	52.07375996	0.0998	N/A	CPL	52.1	0.0998	29.0503	60206	10.097091283009956	0.30246650124685115
60306	1.55	3.61496	3.57044	3.65948	-10.7056	-10.7405	-10.6706	1.76	0.24	0.22	1.03794	1.01296	1.06292	2.4	6	0.798785838	0.104230162	3.20841982	0.04452	47.38550305	0.066580064	SEE	SEE	4.7e-7	1.72e-8	-0.818999	0.222917273	111.534	35.1189697	0.538274019	0.088434677	51.59147614	0.0731	S	CPL	51.6	0.0731	28.5447	60306	11.670301014250295	0.25627623495218355
60526   3.21	3.8752	3.78304	3.96736	-11.305	-11.3729	-11.2372	1.93	0.156	0.095	1.05873	0.996411	1.12104	2.95	6	0.904274436	0.098868195	3.250917904	0.09216	47.61025074	0.082814756	T	T	1.3e-7	1.05e-8	-0.336058	0.510913333	89.7918	45.582	0.282806326	0.1574739	51.52396951	0.2443	N/A	CPL	51.5	0.2443	28.9299	60526	11.909376251073448	0.8741997283455344
60708	1.92	3.50569	3.44297	3.56842	-10.8688	-10.93	-10.8077	2.485	1.069824752	0.401621713	1.12969	1.10116	1.15821	2.27	6.2	1.681553475	0.803465575	3.040307149	0.062725	47.77426631	0.216333293	L-G-P	L-G	6.89e-8	7.96e-9	-0.844645	0.302002121	121.922	347.8896667	0.466831588	0.563402127	50.92501587	0.5265	ISM	CPL	50.9	0.5265	28.6591	60708	14.259103713617574	2.2590243454951873
60714	2.71	3.73449	3.68772	3.78125	-10.8586	-10.8938	-10.8234	1.87	0.15	0.14	1.20488	1.16958	1.24019	2.46	6.2	0.843298624	0.09715803	3.16511609	0.046765	47.84924226	0.06117704	L-G-P	L-G	9.13e-8	5.49e-9	-0.651006	0.467112424	80.8231	51.71736364	0.423637042	0.222552048	51.3692448	0.2296	S	CPL	51.4	0.2296	28.8413	60714	12.476117807361783	0.8610166459876499
60908	1.8836	2.81918	2.75925	2.87911	-9.62707	-9.67226	-9.58189	2.185	0.17613915	0.169189243	1.38309	1.33345	1.43273	1.5	6	1.216432397	0.134808877	2.359244983	0.05993	48.85498695	0.066016438	L	L-G	2.71e-7	1.49e-8	-0.274293	0.361500909	123.016	53.4069697	0.346779392	0.116485185	51.36936225	0.1478	Wind	CPL	51.4	0.1478	28.6489	60908	12.475677463795341	0.554265212916247
60927	5.6	3.15198	3.04355	3.26042	-10.7768	-10.8579	-10.6956	1.83	0.910823803	0.553827591	1.39098	1.2722	1.50977	1.68	5.2	0.725567015	0.607695178	2.332436064	0.108435	48.61474196	0.372683551	L	L-G	2.46e-7	1.07e-8	-0.285971	0.259095152	130.199	36.73636364	0.103144433	0.04002674	51.93612028	0.1696	Wind	CPL	51.9	0.1696	29.2158	60927	10.522958864538019	0.5356806302146878
