time	timeerr1	timeerr2	flux	fluxerr1	fluxerr2
72.522	0.353	-0.31	9.0414725408047e-08	1.00151873408773e-08	-9.85836224814005e-09
73.269	0.372	-0.393	8.10966520518558e-08	9.05595771530792e-09	-8.57173584237505e-09
74.002	0.410	-0.362	8.14216384749023e-08	9.27484487076085e-09	-8.61207688797165e-09
74.797	0.421	-0.384	7.90279424893749e-08	8.80760955279949e-09	-8.25216314576626e-09
75.624	0.436	-0.405	7.1192532486815e-08	8.09769068699394e-09	-7.52677696388213e-09
76.384	0.439	-0.324	7.58006695244059e-08	8.28180726346316e-09	-7.77958632086041e-09
77.172	0.432	-0.349	5.89075161480966e-08	6.97038921839629e-09	-6.68100624112678e-09
77.949	0.382	-0.344	5.97512927580161e-08	7.5184921281391e-09	-7.21715587410007e-09
78.748	0.383	-0.418	7.22087792403383e-08	8.17283750636497e-09	-7.58964444540715e-09
79.524	0.367	-0.393	7.67594387345242e-08	8.68148763146765e-09	-8.0189729787144e-09
80.252	0.368	-0.361	7.67836343432079e-08	8.61714527746581e-09	-7.87655665028342e-09
81.052	0.470	-0.432	5.59242343266184e-08	6.30992828150323e-09	-6.01509437123357e-09
81.850	0.302	-0.328	5.85569773724835e-08	7.69840955613921e-09	-7.28508440902237e-09
82.438	0.326	-0.286	6.22922837628397e-08	8.17486003532224e-09	-7.68093712381109e-09
83.095	0.397	-0.331	6.12852003544961e-08	7.69935038087049e-09	-7.29254653954908e-09
83.761	0.330	-0.27	6.29983861085031e-08	8.36541424091983e-09	-8.20185351041133e-09
84.458	0.432	-0.366	7.27990303001896e-08	7.80800048051001e-09	-7.6462857133893e-09
85.189	0.335	-0.299	6.01184373546081e-08	7.63270403896495e-09	-7.48673962236318e-09
85.853	0.266	-0.33	5.83751805975141e-08	7.71976197100465e-09	-7.59985501947334e-09
86.480	0.349	-0.361	4.90969892869795e-08	6.40668447974956e-09	-6.33316328734631e-09
87.269	0.442	-0.44	6.06496572313143e-08	6.41661723664386e-09	-6.33151320813899e-09
88.013	0.329	-0.301	5.76518729226697e-08	7.32213659929553e-09	-7.23899199695985e-09
88.682	0.371	-0.34	5.9744129543782e-08	7.14297099726153e-09	-7.00027973514778e-09
89.499	0.319	-0.446	4.67132314712161e-08	6.12763326504838e-09	-5.9860736408207e-09
90.222	0.403	-0.404	4.36242051376678e-08	5.77804471617911e-09	-5.63678880042135e-09
90.982	0.357	-0.356	5.05769721324336e-08	6.48757260153805e-09	-6.35707071704141e-09
91.643	0.296	-0.303	5.90588161864106e-08	7.63177721089846e-09	-7.49014194045757e-09
92.295	0.425	-0.356	4.55441581726594e-08	5.9374434889701e-09	-5.68191512511199e-09
93.139	0.400	-0.419	4.03865745868982e-08	5.63863903386762e-09	-5.41585239408636e-09
93.955	0.398	-0.417	4.31111312364254e-08	5.96629745701301e-09	-5.62176498301979e-09
94.750	0.432	-0.397	4.06876518971395e-08	5.94972181537637e-09	-5.66706150321082e-09
95.530	0.353	-0.348	4.98156174990651e-08	6.71150813267874e-09	-6.61811830458285e-09
96.329	0.385	-0.446	4.21378532120836e-08	5.61019499310789e-09	-5.54938346202373e-09
97.103	0.348	-0.389	4.68805900821416e-08	6.34929812516992e-09	-6.22809349947966e-09
97.783	0.335	-0.332	5.2262895839057e-08	7.17286092998491e-09	-6.88320731640119e-09
98.605	0.352	-0.488	4.13199596202382e-08	5.60725053077523e-09	-5.38819225902364e-09
99.298	0.400	-0.34	4.51890097330999e-08	6.35047722418619e-09	-6.17515820096024e-09
99.988	0.342	-0.29	5.81162499580956e-08	7.33087237621527e-09	-7.2683429708426e-09
100.720	0.306	-0.391	5.04059062563292e-08	6.66060952088693e-09	-6.59169100004693e-09
101.507	0.384	-0.48	4.20047405494426e-08	5.3936835424146e-09	-5.34131838968203e-09
102.251	0.395	-0.36	5.62527249078719e-08	6.81081100209109e-09	-6.72196705910623e-09
103.071	0.427	-0.426	6.36356858007618e-08	6.74966595984716e-09	-6.61868843636442e-09
103.865	0.426	-0.367	4.53372423031583e-08	5.98044723195366e-09	-5.88533878631916e-09
104.679	0.374	-0.387	4.73001101506095e-08	6.49879169141414e-09	-6.37581390472968e-09
105.476	0.370	-0.424	4.76983768848589e-08	6.33366014527517e-09	-6.15207220066665e-09
106.240	0.528	-0.394	4.02031463334412e-08	5.40622427687638e-09	-5.23520096639414e-09
107.161	0.398	-0.393	4.49916455061916e-08	6.25185064159979e-09	-6.02636056493085e-09
108.004	0.444	-0.444	4.03945887549123e-08	5.50751820368795e-09	-5.31252673788959e-09
108.846	0.401	-0.398	4.48808228118137e-08	6.06379631322004e-09	-5.84932824386416e-09
109.645	0.439	-0.399	4.26924545089448e-08	5.88206747476185e-09	-5.66615125910551e-09
110.455	0.361	-0.371	4.94560785655869e-08	6.92941952193903e-09	-6.68278336433983e-09
111.218	0.377	-0.402	4.80439342955254e-08	6.56131750352285e-09	-6.31494923806175e-09
111.989	0.371	-0.394	4.86458315309365e-08	6.47440485861837e-09	-6.22167007566185e-09
112.772	0.422	-0.412	4.36838500481762e-08	5.80102173090161e-09	-5.59044559620139e-09
113.701	0.490	-0.507	3.46572951811034e-08	4.79012635553893e-09	-4.63555626583392e-09
114.701	0.471	-0.511	3.65377161881398e-08	4.89323744348801e-09	-4.71371635140392e-09
115.788	0.680	-0.616	2.59808901432415e-08	3.77363315853065e-09	-3.67485401670929e-09
